role	species_id	release	artifact	primary_seqid_regex	source_path	bytes	sha256
target	Actinidia_chinensis_Red5	Red5_PS1_1.69.0_EnsemblPlants_v45	genome	^LG([1-9]|1[0-9]|2[0-9])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t3625/Actinidia_chinensis.Red5_PS1_1.69.0.dna.toplevel.fa.gz	165032199	b8a50d53bf9b18fa879da3ade5e8162e4d896740afddf0fab1967e23b9c11533
target	Actinidia_chinensis_Red5	Red5_PS1_1.69.0_EnsemblPlants_v45	gff3	^LG([1-9]|1[0-9]|2[0-9])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t3625/Actinidia_chinensis.Red5_PS1_1.69.0.45.chr.gff3.gz	7400242	41a81f0a85256d58b4fd2fde4032b6326c8295592d4ea8f0341d37575b2d8ca9
target	Actinidia_chinensis_Red5	Red5_PS1_1.69.0_EnsemblPlants_v45	protein		/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t3625/Actinidia_chinensis.Red5_PS1_1.69.0.pep.all.fa.gz	10391929	3256699bebf59ef25c6811008d1bec44c95dfb85e3d7de4abac70264cd98663d
candidate_reference	Actinidia_eriantha_White	White_v1.0	genome	^Chr(0[1-9]|1[0-9]|2[0-9])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t165200/Actinidia_eriantha.chr.fasta.gz	199769654	259a69329f7a2e07d45a1fea2918b4eba5f3f33b639cc434c93586615fbc5024
candidate_reference	Actinidia_eriantha_White	White_v1.0	gff3	^Chr(0[1-9]|1[0-9]|2[0-9])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t165200/Actinidia_eriantha.gff3.gz	3994059	b26fca387536811110270d2029f7ceb851723fa15a7a380860216d22d8a066c5
candidate_reference	Actinidia_eriantha_White	White_v1.0	protein		/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t165200/Actinidia_eriantha.pep.fasta.gz	8853995	45d89c5d022d7b2ee3f9992010d3bd50b4bcbbee323b35d8c28088ac10c28f73
candidate_reference	Actinidia_rufa_ARU	ARU_r1.0_GCA_030159155.1	genome	^ARU1\.0ch(0[1-9]|1[0-9]|2[0-9])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t165716/ARU_r1.0.pmol.fasta.gz	187899618	a275b3f5f2e3d92ba822906fd8003d205fb6489a58e2ee48f307fd0fd0cd97f0
candidate_reference	Actinidia_rufa_ARU	ARU_r1.0_GCA_030159155.1	gff3	^ARU1\.0ch(0[1-9]|1[0-9]|2[0-9])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t165716/ARU1.0.genes.gff.gz	7072736	a1dc19871b24fb64b44c4ff2a8ecf95daf96c24f5505cc1cc86442d6752b26fe
candidate_reference	Actinidia_rufa_ARU	ARU_r1.0_GCA_030159155.1	protein		/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t165716/ARU1.0.proteins.fasta.gz	13719497	050d96e551c8b0b2b800132364851ab1fa29d5046236237ff13d1884f9291cef
evaluator_reference	Rhododendron_simsii	NCBI_GCA_014282245.1	genome	^CM024(95[3-9]|96[0-5])\.1$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t118357/GCA_014282245.1_ASM1428224v1_genomic.fna.gz	175086237	0101fc0d9d7e27a9cc59687cb61cf7014e66372f40558a5b5ab4935aba640aab
evaluator_reference	Rhododendron_simsii	NCBI_GCA_014282245.1	gff3	^CM024(95[3-9]|96[0-5])\.1$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t118357/GCA_014282245.1_ASM1428224v1_genomic.gff.gz	7027134	681c5bbb24f58260318315bcf3094b2a20c2d020d2ca3b7adbd730647ebbffff
evaluator_reference	Rhododendron_simsii	NCBI_GCA_014282245.1	protein		/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t118357/GCA_014282245.1_ASM1428224v1_protein.faa.gz	8870740	ff714ad8d26e9e2294d74c193c48be136a1f23469881e06fe515856ef9cb5aef
evaluator_reference	Diospyros_oleifera	Diospyros_oleifera_v1.0	genome	^Chr([1-9]|1[0-5])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t227308/Dol.genome.fa.gz	220674718	f6c6c409198c3dd5854ea7862f37e7ea8644657972dc3eaf642cede4cb7ca200
evaluator_reference	Diospyros_oleifera	Diospyros_oleifera_v1.0	gff3	^Chr([1-9]|1[0-5])$	/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t227308/Dol.gff3.gz	4391416	6820b46cd41e098962416d35b98ebbfb7922a36475287e10d9289a0d96f5de68
evaluator_reference	Diospyros_oleifera	Diospyros_oleifera_v1.0	protein		/nas_data/NFS/Public_genome_data/plantgarden_database/raw_data/t227308/Dol.pep.fa.gz	6597993	6111890b204e9575d83874c4c3bc4a9947c91dd622970ef8af9297fbf7d5adb2
