wgdi_subgenome	wgdi_synteny_stratum	transcript_count_bin	sample_count
A	expected_and_cross	1	60
A	expected_and_cross	2	25
A	expected_and_cross	ge_3	15
A	expected_only	1	60
A	expected_only	2	25
A	expected_only	ge_3	15
A	cross_only	1	60
A	cross_only	2	25
A	cross_only	ge_3	15
A	no_block	1	60
A	no_block	2	25
A	no_block	ge_3	15
C	expected_and_cross	1	60
C	expected_and_cross	2	25
C	expected_and_cross	ge_3	15
C	expected_only	1	60
C	expected_only	2	25
C	expected_only	ge_3	15
C	cross_only	1	60
C	cross_only	2	25
C	cross_only	ge_3	15
C	no_block	1	60
C	no_block	2	25
C	no_block	ge_3	15
