role	species_id	release	artifact	primary_seqid_regex	primary_seqid_table	source_path	bytes	sha256	source_url	container_format	member_name	member_bytes	member_sha256
target	Coffea_arabica_ET39	ET39_HiFi_GCF_036785885.1_RefSeq	genome	^NC_0923(1[0-9]|2[0-9]|3[01])\.1$	config/primary_seqids/coffea_arabica_et39_hifi.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/target_et39_gcf_036785885_1/genomic.fna.gz	332631798	d2654fcda06f42f6a7003228ccdea623504b2d961766526c95b90ff8adef5066	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/785/885/GCF_036785885.1_Coffea_Arabica_ET-39_HiFi/GCF_036785885.1_Coffea_Arabica_ET-39_HiFi_genomic.fna.gz	direct			
target	Coffea_arabica_ET39	ET39_HiFi_GCF_036785885.1_RefSeq	gff3	^NC_0923(1[0-9]|2[0-9]|3[01])\.1$	config/primary_seqids/coffea_arabica_et39_hifi.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/target_et39_gcf_036785885_1/genomic.gff.gz	20878591	0bdec902ec13bea13e58fef35d9bdec20a6202c74c4a07fff904038b38924ef1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/785/885/GCF_036785885.1_Coffea_Arabica_ET-39_HiFi/GCF_036785885.1_Coffea_Arabica_ET-39_HiFi_genomic.gff.gz	direct			
target	Coffea_arabica_ET39	ET39_HiFi_GCF_036785885.1_RefSeq	protein		config/primary_seqids/coffea_arabica_et39_hifi.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/target_et39_gcf_036785885_1/protein.faa.gz	18038852	51aa69d9e8b323924d9cd326d589e33c293b4ed0b65623d78d7883b4e14778c1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/785/885/GCF_036785885.1_Coffea_Arabica_ET-39_HiFi/GCF_036785885.1_Coffea_Arabica_ET-39_HiFi_protein.faa.gz	direct			
candidate_reference	Coffea_eugenioides_BuA	Bu-A_v1_Coffee_Genome_Hub_analysis_11	genome	^chr(0[1-9]|1[01])$	config/primary_seqids/coffea_eugenioides_bua_v1.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/candidate_eugenioides_bua_coffee_hub_v1/assembly.fna	646540924	59b0c550841fe3793b7266b20f40f3a6fd2bf23af141af1efc50f7f214e07da9	https://jbrowse.southgreen.fr/coffea_eugenoides_bu-a_v1/seq/Coffea_eugenioides_Bu-A.assembly.fna	direct			
candidate_reference	Coffea_eugenioides_BuA	Bu-A_v1_Coffee_Genome_Hub_analysis_11	gff3	^chr(0[1-9]|1[01])$	config/primary_seqids/coffea_eugenioides_bua_v1.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/candidate_eugenioides_bua_coffee_hub_v1/annotation.gff3.gz	7626724	dcbd29534b2b769aa5bfd74bc89d0c7cfefa10597dc9d8b7971aea49302f2705	https://coffee-genome-hub.southgreen.fr/api/download/analysis_gff3/11/	direct			
candidate_reference	Coffea_eugenioides_BuA	Bu-A_v1_Coffee_Genome_Hub_analysis_11	protein		config/primary_seqids/coffea_eugenioides_bua_v1.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/candidate_eugenioides_bua_coffee_hub_v1/protein.faa	14225311	c02858fdb91314b17f2cf7bd61267af7c4cdd614449a9163c8a5d3a139b8cff0	https://coffee-genome-hub.southgreen.fr/api/download/assembly_sequence/11/?so_term=protein	direct			
candidate_reference	Coffea_mauritiana	v1_Coffee_Genome_Hub_analysis_9	genome	^Chr(0[1-9]|1[01])$	config/primary_seqids/coffea_mauritiana_v1.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/candidate_mauritiana_coffee_hub_v1/assembly.fna	440499526	3205b131997fadc021af7db3d4cbbb448b79363633afbbd24d84e4e90b60a8d9	https://jbrowse.southgreen.fr/coffea_mauritiana_v1/seq/Coffea_mauritiana.assembly.fna	direct			
candidate_reference	Coffea_mauritiana	v1_Coffee_Genome_Hub_analysis_9	gff3	^Chr(0[1-9]|1[01])$	config/primary_seqids/coffea_mauritiana_v1.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/candidate_mauritiana_coffee_hub_v1/annotation.gff3.gz	6172196	cbfada34622121dfd53d20b68acd88422c049188e2735304b62d0d191922887c	https://jbrowse.southgreen.fr/coffea_mauritiana_v1/gff3/Coffea_mauritiana.gff3.gz	direct			
candidate_reference	Coffea_mauritiana	v1_Coffee_Genome_Hub_analysis_9	protein		config/primary_seqids/coffea_mauritiana_v1.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/candidate_mauritiana_coffee_hub_v1/protein.faa	10275892	b5fbd3f7f5036ec063f80c8c8e47c5c1fc93eb693a3997e5484e0f3cf5a03e29	https://coffee-genome-hub.southgreen.fr/api/download/assembly_sequence/9/?so_term=protein	direct			
evaluator_reference	Gardenia_jasminoides	ASM1310374v1_GCA_013103745.1_PlantGIR_v1	genome	^CM023(09[5-9]|10[0-5])\.1$	config/primary_seqids/gardenia_jasminoides_asm1310374v1.tsv	/data/codexli/projects/PloidyPatch/data/raw/external_sources/coffea_v1.0/evaluator_gardenia_gca_013103745_1/genomic.fna.gz	166169651	615251ca5b887de1f3c0fc02fa43959ad177a9344f75efdf81d2e71cc5b8d3a7	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/103/745/GCA_013103745.1_ASM1310374v1/GCA_013103745.1_ASM1310374v1_genomic.fna.gz	direct			
