sample	filename_stem_group
Black-1	Black
Black-2	Black
Black-3	Black
BM_110D-1	BM_110D
BM_110D-2	BM_110D
BM_110D-3	BM_110D
BM_150D-1	BM_150D
BM_150D-2	BM_150D
BM_150D-3	BM_150D
BM_90D-1	BM_90D
BM_90D-2	BM_90D
BM_90D-3	BM_90D
JRY_S1-1	JRY_S1
JRY_S1-2	JRY_S1
JRY_S1-3	JRY_S1
JRY_S2-1	JRY_S2
JRY_S2-2	JRY_S2
JRY_S2-3	JRY_S2
JRY_S3-1	JRY_S3
JRY_S3-2	JRY_S3
JRY_S3-3	JRY_S3
JRY_S4-1	JRY_S4
JRY_S4-2	JRY_S4
JRY_S4-3	JRY_S4
JRY_S5-1	JRY_S5
JRY_S5-2	JRY_S5
JRY_S5-3	JRY_S5
Red_1-1	Red_1
Red_1-2	Red_1
Red_1-3	Red_1
Red_2-1	Red_2
Red_2-2	Red_2
Red_2-3	Red_2
RZ_S1-1	RZ_S1
RZ_S1-2	RZ_S1
RZ_S1-3	RZ_S1
RZ_S2-1	RZ_S2
RZ_S2-2	RZ_S2
RZ_S2-3	RZ_S2
RZ_S3-1	RZ_S3
RZ_S3-2	RZ_S3
RZ_S3-3	RZ_S3
RZ_S4-1	RZ_S4
RZ_S4-2	RZ_S4
RZ_S4-3	RZ_S4
RZ_S5-1	RZ_S5
RZ_S5-2	RZ_S5
RZ_S5-3	RZ_S5
XZ_110D-1	XZ_110D
XZ_110D-2	XZ_110D
XZ_110D-3	XZ_110D
XZ_150D-1	XZ_150D
XZ_150D-2	XZ_150D
XZ_150D-3	XZ_150D
XZ_90D-1	XZ_90D
XZ_90D-2	XZ_90D
XZ_90D-3	XZ_90D
Yellow-1	Yellow
Yellow-2	Yellow
Yellow-3	Yellow
