query_seqid	target_seqid	source_label	chromosome_label	subgenome
NC_063434.1	A01	bra_a	A1	A
NC_063435.1	A02	bra_a	A2	A
NC_063436.1	A03	bra_a	A3	A
NC_063437.1	A04	bra_a	A4	A
NC_063438.1	A05	bra_a	A5	A
NC_063439.1	A06	bra_a	A6	A
NC_063440.1	A07	bra_a	A7	A
NC_063441.1	A08	bra_a	A8	A
NC_063442.1	A09	bra_a	A9	A
NC_063443.1	A10	bra_a	A10	A
NC_063444.1	C1	bol_c	C1	C
NC_063445.1	C2	bol_c	C2	C
NC_063446.1	C3	bol_c	C3	C
NC_063447.1	C4	bol_c	C4	C
NC_063448.1	C5	bol_c	C5	C
NC_063449.1	C6	bol_c	C6	C
NC_063450.1	C7	bol_c	C7	C
NC_063451.1	C8	bol_c	C8	C
NC_063452.1	C9	bol_c	C9	C
