query_seqid	target_seqid	chromosome_label	subgenome
chrA01	NC_063434.1	A1	A
chrA02	NC_063435.1	A2	A
chrA03	NC_063436.1	A3	A
chrA04	NC_063437.1	A4	A
chrA05	NC_063438.1	A5	A
chrA06	NC_063439.1	A6	A
chrA07	NC_063440.1	A7	A
chrA08	NC_063441.1	A8	A
chrA09	NC_063442.1	A9	A
chrA10	NC_063443.1	A10	A
chrC01	NC_063444.1	C1	C
chrC02	NC_063445.1	C2	C
chrC03	NC_063446.1	C3	C
chrC04	NC_063447.1	C4	C
chrC05	NC_063448.1	C5	C
chrC06	NC_063449.1	C6	C
chrC07	NC_063450.1	C7	C
chrC08	NC_063451.1	C8	C
chrC09	NC_063452.1	C9	C
